Jahr;Gebiet;Sachmerkmal;Nettoeinkommen
2011;Mockau-Nord,Haushaltseinkommen,1236;"96250899009""";1362,48263767751
2011;Thekla,Haushaltseinkommen,1370;"00408535438""";1335,62976604383
2011;Plaussig-Portitz,Haushaltseinkommen,1900;"90504995806""";1963,62971455684
2011;Neustadt-Neuschoenefeld;Haushaltseinkommen;1054,25718617405
2011;Volkmarsdorf;Haushaltseinkommen;1047,74497422666
2011;Anger-Crottendorf;Haushaltseinkommen;1254,69849432713
2011;Sellerhausen-Stuenz;Haushaltseinkommen;1390,1222466554
2011;Paunsdorf;Haushaltseinkommen;1171,40980373416
2011;Heiterblick;Haushaltseinkommen;1704,69336773647
2011;Moelkau;Haushaltseinkommen;1759,86436751337
2011;Engelsdorf;Haushaltseinkommen;1888,68315962427
2011;Baalsdorf;Haushaltseinkommen;2018,93850469875
2011;Althen-Kleinpoesna;Haushaltseinkommen;2059,33262514847
2011;Reudnitz-Thonberg;Haushaltseinkommen;1225,63384696266
2011;Stoetteritz;Haushaltseinkommen;1285,39620352677
2011;Probstheida;Haushaltseinkommen;1519,65445088785
2011;Meusdorf;Haushaltseinkommen;1430,64883269071
2011;Liebertwolkwitz;Haushaltseinkommen;1565,50446778854
2011;Holzhausen;Haushaltseinkommen;1685,31618581153
2011;Suedvorstadt;Haushaltseinkommen;1724,68165185522
2011;Connewitz;Haushaltseinkommen;1274,46624544129
2011;Marienbrunn;Haushaltseinkommen;1369,69025298186
2011;Loessnig;Haushaltseinkommen;1445,93381361823
2011;Doelitz-Doesen;Haushaltseinkommen;1628,12524785644
2011;Schleussig;Haushaltseinkommen;2020,46879303258
2011;Plagwitz;Haushaltseinkommen;1464,8733188789
2011;Kleinzschocher;Haushaltseinkommen;1175,4458814546
2011;Grosszschocher;Haushaltseinkommen;1321,16542390647
2011;Knautkleeberg-Knauthain;Haushaltseinkommen;2053,57579229062
2011;Hartmannsdorf-Knautnaundorf;Haushaltseinkommen;1596,72892544055
2011;Schoenau;Haushaltseinkommen;1252,88436198312
2011;Gruenau-Ost;Haushaltseinkommen;1263,23343382768
2011;Gruenau-Mitte;Haushaltseinkommen;1209,37037498942
2011;Gruenau-Siedlung;Haushaltseinkommen;1835,78018343409
2011;Lausen-Gruenau;Haushaltseinkommen;1345,7974299631
2011;Gruenau-Nord;Haushaltseinkommen;1198,08518813836
2011;Miltitz;Haushaltseinkommen;1783,88374181074
2011;Lindenau;Haushaltseinkommen;1069,5424105696
2011;Altlindenau;Haushaltseinkommen;1297,51156174441
2011;Neulindenau;Haushaltseinkommen;1288,69477487803
2011;Leutzsch;Haushaltseinkommen;1466,629812917
2011;Boehlitz-Ehrenberg;Haushaltseinkommen;1375,83737643726
2011;Burghausen-Rueckmarsdorf;Haushaltseinkommen;1911,19921259334
2011;Moeckern;Haushaltseinkommen;1333,78673348031
2011;Wahren;Haushaltseinkommen;1348,30224824004
2011;Luetzschena-Stahmeln;Haushaltseinkommen;1824,2078382524
2011;Lindenthal;Haushaltseinkommen;1654,99643093032
2011;Gohlis-Sued;Haushaltseinkommen;1760,77627932225
2011;Gohlis-Mitte;Haushaltseinkommen;1789,85804262486
2011;Gohlis-Nord;Haushaltseinkommen;1377,31397346212
2011;Eutritzsch;Haushaltseinkommen;1382,84033117857
2011;Seehausen;Haushaltseinkommen;1849,51649078219
2011;Wiederitzsch;Haushaltseinkommen;1816,99664116039
2011;Mitte;Haushaltseinkommen;1571,98432698646
2011;Nordost;Haushaltseinkommen;1287,00066983994
2011;Ost;Haushaltseinkommen;1360,5031041919
2011;Suedost;Haushaltseinkommen;1358,66622109542
2011;Sued;Haushaltseinkommen;1463,90998802506
2011;Suedwest;Haushaltseinkommen;1411,71421186975
2011;West;Haushaltseinkommen;1296,9710071978
2011;Alt-West;Haushaltseinkommen;1400,41025946266
2011;Nordwest;Haushaltseinkommen;1352,94354483837
2011;Nord;Haushaltseinkommen;1671,65774316951
2011;Stadt Leipzig;Haushaltseinkommen;1414
2013;Zentrum;Persoenliches Einkommen;1387,20640125823
2013;Zentrum-Ost;Persoenliches Einkommen;1466,09414682086
2013;Zentrum-Suedost;Persoenliches Einkommen;1036,31881766262
2013;Zentrum-Sued;Persoenliches Einkommen;1198,15650717198
2013;Zentrum-West;Persoenliches Einkommen;1441,63236840073
2013;Zentrum-Nordwest;Persoenliches Einkommen;1557,75353350179
2013;Zentrum-Nord;Persoenliches Einkommen;1293,83514847689
2013;Schoenefeld-Abtnaundorf;Persoenliches Einkommen;1095,27904515581
2013;Schoenefeld-Ost;Persoenliches Einkommen;1054,69096396352
2013;Mockau-Sued;Persoenliches Einkommen;1127,460838546
2013;Mockau-Nord;Persoenliches Einkommen;1065,65108405532
2013;Thekla;Persoenliches Einkommen;1107,4890038051
2013;Plaussig-Portitz;Persoenliches Einkommen;1238,79973466992
2013;Neustadt-Neuschoenefeld;Persoenliches Einkommen;892,772742117413
2013;Volkmarsdorf;Persoenliches Einkommen;797,784691497263
2013;Anger-Crottendorf;Persoenliches Einkommen;1008,20571211122
2013;Sellerhausen-Stuenz;Persoenliches Einkommen;1156,22211303367
2013;Paunsdorf;Persoenliches Einkommen;1152,56610109651
2013;Heiterblick;Persoenliches Einkommen;1180,99211309959
2013;Moelkau;Persoenliches Einkommen;1302,74935110407
2013;Engelsdorf;Persoenliches Einkommen;1278,45502803295
2013;Baalsdorf;Persoenliches Einkommen;1328,59423540916
2013;Althen-Kleinpoesna;Persoenliches Einkommen;1278,07763149338
2013;Reudnitz-Thonberg;Persoenliches Einkommen;1113,09459551184
2013;Stoetteritz;Persoenliches Einkommen;1183,84084277403
2013;Probstheida;Persoenliches Einkommen;1376,09445557938
2013;Meusdorf;Persoenliches Einkommen;1124,7572536232
2013;Liebertwolkwitz;Persoenliches Einkommen;1198,21390782151
2013;Holzhausen;Persoenliches Einkommen;1251,66216165169
2013;Suedvorstadt;Persoenliches Einkommen;1194,97479229623
2013;Connewitz;Persoenliches Einkommen;1150,30457234274
2013;Marienbrunn;Persoenliches Einkommen;1158,00289172507
2013;Loessnig;Persoenliches Einkommen;1073,56135943547
2013;Doelitz-Doesen,Persoenliches Einkommen,1149;"80949230727""";1326,6731743186
2013;Schleussig,Persoenliches Einkommen,1164;"56017966956""";1460,5392288974
2013;Plagwitz,Persoenliches Einkommen,1225;"02248661079""";1554,6294434375
2013;Kleinzschocher,Persoenliches Einkommen,960;"714072472308""";1271,28469063531
2013;Grosszschocher,Persoenliches Einkommen,1095;"87639447864""";1153,4565131558
2013;Knautkleeberg-Knauthain,Persoenliches Einkommen,1150;"6422073346""";1353,79468494812
2013;Hartmannsdorf-Knautnaundorf,Persoenliches Einkommen,1097;"4459160057""";1424,11613216715
2013;Schoenau,Persoenliches Einkommen,1044;"99386350261""";1222,43407646404
2013;Gruenau-Ost,Persoenliches Einkommen,1063;"50109594185""";1090,84425833176
2013;Gruenau-Mitte,Persoenliches Einkommen,928;"989237574649""";1124,3918743438
2013;Gruenau-Siedlung,Persoenliches Einkommen,1198;"66100062977""";1444,86328462828
2013;Lausen-Gruenau,Persoenliches Einkommen,976;"025968696877""";1190,68764239962
2013;Gruenau-Nord,Persoenliches Einkommen,895;"112599069049""";1054,86356595686
2013;Miltitz,Persoenliches Einkommen,1181;"71001321242""";1426,32686619538
2013;Lindenau,Persoenliches Einkommen,893;"739774758912""";1242,16104760904
2013;Altlindenau,Persoenliches Einkommen,1025;"93236873067""";1235,27428907154
2013;Neulindenau,Persoenliches Einkommen,1077;"43033609746""";1269,61525082739
2013;Leutzsch,Persoenliches Einkommen,1133;"13320492051""";1387,01909752618
2013;Boehlitz-Ehrenberg,Persoenliches Einkommen,1080;"37539931653""";1445,3703806906
2013;Burghausen-Rueckmarsdorf,Persoenliches Einkommen,1153;"49380836073""";1206,30449688969
2013;Moeckern,Persoenliches Einkommen,994;"130490681782""";1349,20552415978
2013;Wahren,Persoenliches Einkommen,1111;"27972870703""";1366,12737946177
2013;Luetzschena-Stahmeln,Persoenliches Einkommen,1107;"99210573493""";1591,11229952145
2013;Lindenthal,Persoenliches Einkommen,1147;"21505221923""";1389,06430485442
2013;Gohlis-Sued,Persoenliches Einkommen,1164;"01892795164""";1623,52095410162
2013;Gohlis-Mitte,Persoenliches Einkommen,1240;"11222698576""";1572,19709410839
2013;Gohlis-Nord,Persoenliches Einkommen,1158;"22687294858""";1300,63303149062
2013;Eutritzsch,Persoenliches Einkommen,1170;"86064854204""";1235,05555764506
2013;Seehausen,Persoenliches Einkommen,1215;"85207009075""";1361,5663928243
2013;Wiederitzsch,Persoenliches Einkommen,1182;"25930901437""";1459,76969009838
2013;Mitte,Persoenliches Einkommen,1232;"61291070668""";1384,11695837427
2013;Nordost,Persoenliches Einkommen,997;"115176850823""";1184,65173941114
2013;Ost,Persoenliches Einkommen,990;"597956224431""";1123,81935481143
2013;Suedost,Persoenliches Einkommen,1022;"17417273885""";1257,10034802975
2013;Sued,Persoenliches Einkommen,1086;"11466049852""";1286,44377414388
2013;Suedwest,Persoenliches Einkommen,1084;"33778742868""";1303,83611622658
2013;West,Persoenliches Einkommen,1028;"50127157781""";1142,61679421887
