,Gebiet,Sachmerkmal,Jahr,Nettoeinkommen
76,"Zentrum-Suedost,Haushaltseinkommen,1202","33006688454""",2011,"1285,07606531966"
77,"Zentrum-Sued,Haushaltseinkommen,1544","51700734588""",2011,"1639,94041024454"
78,"Zentrum-West,Haushaltseinkommen,1530","99167808915""",2011,"1609,87757422425"
79,"Zentrum-Nordwest,Haushaltseinkommen,2131","48217842793""",2011,"2424,67372344453"
80,"Zentrum-Nord,Haushaltseinkommen,1471","54674208864""",2011,"1495,37184162614"
81,"Schoenefeld-Abtnaundorf,Haushaltseinkommen,1096","48429727869""",2011,"1443,42868587258"
82,"Schoenefeld-Ost,Haushaltseinkommen,1342","257274574""",2011,"1525,0284795009"
83,"Mockau-Sued,Haushaltseinkommen,1269","23100664899""",2011,"1532,18437086573"
84,"Mockau-Nord,Haushaltseinkommen,1236","96250899009""",2011,"1362,48263767751"
85,"Thekla,Haushaltseinkommen,1370","00408535438""",2011,"1335,62976604383"
86,"Plaussig-Portitz,Haushaltseinkommen,1900","90504995806""",2011,"1963,62971455684"
87,Neustadt-Neuschoenefeld,Haushaltseinkommen,2011,"1054,25718617405"
88,Volkmarsdorf,Haushaltseinkommen,2011,"1047,74497422666"
89,Anger-Crottendorf,Haushaltseinkommen,2011,"1254,69849432713"
90,Sellerhausen-Stuenz,Haushaltseinkommen,2011,"1390,1222466554"
91,Paunsdorf,Haushaltseinkommen,2011,"1171,40980373416"
92,Heiterblick,Haushaltseinkommen,2011,"1704,69336773647"
93,Moelkau,Haushaltseinkommen,2011,"1759,86436751337"
94,Engelsdorf,Haushaltseinkommen,2011,"1888,68315962427"
95,Baalsdorf,Haushaltseinkommen,2011,"2018,93850469875"
96,Althen-Kleinpoesna,Haushaltseinkommen,2011,"2059,33262514847"
97,Reudnitz-Thonberg,Haushaltseinkommen,2011,"1225,63384696266"
98,Stoetteritz,Haushaltseinkommen,2011,"1285,39620352677"
99,Probstheida,Haushaltseinkommen,2011,"1519,65445088785"
100,Meusdorf,Haushaltseinkommen,2011,"1430,64883269071"
101,Liebertwolkwitz,Haushaltseinkommen,2011,"1565,50446778854"
102,Holzhausen,Haushaltseinkommen,2011,"1685,31618581153"
103,Suedvorstadt,Haushaltseinkommen,2011,"1724,68165185522"
104,Connewitz,Haushaltseinkommen,2011,"1274,46624544129"
105,Marienbrunn,Haushaltseinkommen,2011,"1369,69025298186"
106,Loessnig,Haushaltseinkommen,2011,"1445,93381361823"
107,Doelitz-Doesen,Haushaltseinkommen,2011,"1628,12524785644"
108,Schleussig,Haushaltseinkommen,2011,"2020,46879303258"
109,Plagwitz,Haushaltseinkommen,2011,"1464,8733188789"
110,Kleinzschocher,Haushaltseinkommen,2011,"1175,4458814546"
111,Grosszschocher,Haushaltseinkommen,2011,"1321,16542390647"
112,Knautkleeberg-Knauthain,Haushaltseinkommen,2011,"2053,57579229062"
113,Hartmannsdorf-Knautnaundorf,Haushaltseinkommen,2011,"1596,72892544055"
114,Schoenau,Haushaltseinkommen,2011,"1252,88436198312"
115,Gruenau-Ost,Haushaltseinkommen,2011,"1263,23343382768"
116,Gruenau-Mitte,Haushaltseinkommen,2011,"1209,37037498942"
