,Einkommen,Name
0,1561.803755,Mitte
1,1242.690524,Nordost
2,1291.574194,Ost
3,1410.794299,Südost
4,1518.251649,Süd
5,1532.000205,Südwest
6,1237.438774,West
7,1428.25328,Alt-West
8,1555.675146,Nordwest
9,1668.641128,Nord
