Name,Einheit,2000,2001,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Einkommen
Haushalte insgesamt,Median in Euro pro m²,6.39,6.39,6.53,6.53,6.76,6.9,6.92,6.95,7.12,7.08,7.2,7.228916,7.446808,7.5,7.59,7.77,8.208551,8.181818,8.333333,8.666667
1-Personen-Haushalte,Median in Euro pro m²,6.33,6.39,6.53,6.51,6.78,6.91,6.93,6.92,7.15,7.1,7.2,7.212766,7.516814,7.463988,7.5,7.75968,8.231,8.038435,8.265625,8.545455
2-Personen-Haushalte,Median in Euro pro m²,6.44,6.48,6.58,6.65,6.78,6.94,6.89,7.03,7.13,7.08,7.226191,7.246377,7.301587,7.447764,7.606664,7.777778,8.208955,8.18984,8.376812,8.823529
3-Personen-Haushalte,Median in Euro pro m²,6.39,6.57,6.55,6.43,6.75,6.93,6.94,6.77,7.05,7.03,7.236842,7.301587,7.550802,7.668568,7.889117,7.883833,8.157897,8.75,8.257576,8.95082
4- und Mehr-Personen-Haushalte,Median in Euro pro m²,6.29,6.08,6.28,6.46,6.5,6.74,6.67,6.7,6.95,6.85,6.976744,7.21519,7.362986,7.518438,7.658526,7.829737,8.316975,8.333333,9.1875,8.8
